EK,UK,UUK,Kennzeichen,Klassendefinition,Klassenname,Beispiele,Target
U,UL,ULM,ULM,Strukturstützobjekt mit einer ebenen oder gebogenen Abtastebene Form zum Halten von Biegemomenten,Wandplatte,Fundamentwand,Wandplatte
U,UL,ULM,ULM,Strukturstützobjekt mit einer ebenen oder gebogenen Abtastebene Form zum Halten von Biegemomenten,Wandplatte,Fundamentwand,Fundamentwand
U,UL,ULM,ULM,Strukturstützobjekt mit einer ebenen oder gebogenen Abtastebene Form zum Halten von Biegemomenten,Wandplatte,Fundamentwand,Strukturstützobjekt mit einer ebenen oder gebogenen Abtastebene Form zum Halten von Biegemomenten
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Schiffs-rumpfplatte,Schiffs-rumpfplatte
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Schiffs-rumpfplatte,Mantel
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Schiffs-rumpfplatte,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält"
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,tragende Schale,tragende Schale
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,tragende Schale,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält"
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,tragende Schale,Mantel
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Rumpfplatte,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält"
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Bilgenplatte,Bilgenplatte
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Bilgenplatte,Mantel
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Bilgenplatte,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält"
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Rumpfplatte,Rumpfplatte
U,UL,ULN,ULN,"Strukturstützobjekt mit einer ebenen oder gebogenen Oberfläche, die Zugkräften standhält",Mantel,Rumpfplatte,Mantel
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Rohrtunnel,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält"
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Gewölbe,Gewölbe
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Gewölbe,Durchgehender Bogen
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Gewölbe,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält"
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Rohrtunnel,Rohrtunnel
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Rohrtunnel,Durchgehender Bogen
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Lamelle,Lamelle
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Lamelle,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält"
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Dom,Dom
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Dom,Durchgehender Bogen
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Dom,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält"
U,UL,ULP,ULP,"Strukturstützobjekt mit einer gebogenen Oberflächenform, die Biegemomenten standhält",Durchgehender Bogen,Lamelle,Durchgehender Bogen
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Auflagekeil,Auflagekeil
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Auflagekeil,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt"
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Druckverteiler,Druckverteiler
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Druckverteiler,Trageplatte
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Auflagekeil,Trageplatte
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Platte,Platte
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Platte,Trageplatte
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Platte,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt"
U,UL,ULQ,ULQ,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt",Trageplatte,Druckverteiler,"Strukturstützobjekt mit einer flachen Oberflächenform, die Lasten in Verbindungen verteilt"
U,UL,ULR,ULR,"Strukturstützobjekt mit einer gebogenen linearen Form, die Zugkräften standhält",Tragseil,,"Strukturstützobjekt mit einer gebogenen linearen Form, die Zugkräften standhält"
U,UL,ULR,ULR,"Strukturstützobjekt mit einer gebogenen linearen Form, die Zugkräften standhält",Tragseil,,Tragseil
U,UM,,UM,Halteobjekt zur Verstärkung,Verstärkungsobjekt,,Halteobjekt zur Verstärkung
U,UM,,UM,Halteobjekt zur Verstärkung,Verstärkungsobjekt,,Verstärkungsobjekt
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Verstärkungsbalken,Verstärkungsobjekt in Form einer eingelassenen Stange
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Verstärkungsbalken,Verstärkte Stange
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Verstärkungsbalken,Verstärkungsbalken
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Felsanker,Verstärkungsobjekt in Form einer eingelassenen Stange
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Felsanker,Verstärkte Stange
U,UM,UMA,UMA,Verstärkungsobjekt in Form einer eingelassenen Stange,Verstärkte Stange,Felsanker,Felsanker
U,UM,UMB,UMB,Verstärkungsobjekt in Form eines eingelassenen Netzes oder Stoffes,Verstärktes Netz,Betonstahlnetz,Betonstahlnetz
U,UM,UMB,UMB,Verstärkungsobjekt in Form eines eingelassenen Netzes oder Stoffes,Verstärktes Netz,Betonstahlnetz,Verstärkungsobjekt in Form eines eingelassenen Netzes oder Stoffes
U,UM,UMB,UMB,Verstärkungsobjekt in Form eines eingelassenen Netzes oder Stoffes,Verstärktes Netz,Betonstahlnetz,Verstärktes Netz
U,UM,UMC,UMC,Verstärkungsobjekt in Form einer Masseschicht,Verstärkte Masseschicht,Pflasterverstärkung,Verstärkungsobjekt in Form einer Masseschicht
U,UM,UMC,UMC,Verstärkungsobjekt in Form einer Masseschicht,Verstärkte Masseschicht,Pflasterverstärkung,Verstärkte Masseschicht
U,UM,UMC,UMC,Verstärkungsobjekt in Form einer Masseschicht,Verstärkte Masseschicht,Pflasterverstärkung,Pflasterverstärkung
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Betoneinspritzung,Verstärkungsobjekt in Form einer eingelassenen Masse
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Betoneinspritzung,Verstärkte Masse
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Betoneinspritzung,Betoneinspritzung
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Kalksäule,Verstärkungsobjekt in Form einer eingelassenen Masse
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Kalksäule,Verstärkte Masse
U,UM,UMD,UMD,Verstärkungsobjekt in Form einer eingelassenen Masse,Verstärkte Masse,Kalksäule,Kalksäule
U,UM,UME,UME,Verstärkungsobjekt in Form einer Verschlussklappe,Sicherheitsschließblech,,Verstärkungsobjekt in Form einer Verschlussklappe
U,UM,UME,UME,Verstärkungsobjekt in Form einer Verschlussklappe,Sicherheitsschließblech,,Sicherheitsschließblech
U,UM,UMF,UMF,Verstärkungsobjekt in Form einer Zwischenfüllung,Spleißung,Spleißplatte,Spleißplatte
U,UM,UMF,UMF,Verstärkungsobjekt in Form einer Zwischenfüllung,Spleißung,Spleißplatte,Spleißung
U,UM,UMF,UMF,Verstärkungsobjekt in Form einer Zwischenfüllung,Spleißung,Spleißplatte,Verstärkungsobjekt in Form einer Zwischenfüllung
U,UM,UMG,UMG,Verstärkungsobjekt zur vertikalen Dränage,Vertikaldrän,,Verstärkungsobjekt zur vertikalen Dränage
U,UM,UMG,UMG,Verstärkungsobjekt zur vertikalen Dränage,Vertikaldrän,,Vertikaldrän
U,UM,UMH,UMH,Verstärkungsobjekt in Form von Betonspritzen,Betonspritzen,,Verstärkungsobjekt in Form von Betonspritzen
U,UM,UMH,UMH,Verstärkungsobjekt in Form von Betonspritzen,Betonspritzen,,Betonspritzen
U,UM,UMJ,UMJ,Verstärkungsobjekt in Form von Betonauskleidung,Betonauskleidung,,Verstärkungsobjekt in Form von Betonauskleidung
U,UM,UMJ,UMJ,Verstärkungsobjekt in Form von Betonauskleidung,Betonauskleidung,,Betonauskleidung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Strebebogen,Strebebogen
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Strebebogen,Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Strebebogen,Verstärkungsobjekt in Form einer Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Rippe,Rippe
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Rippe,Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Rippe,Verstärkungsobjekt in Form einer Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Widerlager,Verstärkungsobjekt in Form einer Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Widerlager,Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Widerlager,Widerlager
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Stützpfeiler,Stützpfeiler
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Stützpfeiler,Versteifung
U,UM,UMK,UMK,Verstärkungsobjekt in Form einer Versteifung,Versteifung,Stützpfeiler,Verstärkungsobjekt in Form einer Versteifung
U,UM,UML,UML,Verstärkungsobjekt in Form einer Diagonalverbindung,Diagonalverbindung,,Verstärkungsobjekt in Form einer Diagonalverbindung
U,UM,UML,UML,Verstärkungsobjekt in Form einer Diagonalverbindung,Diagonalverbindung,,Diagonalverbindung
U,UM,UMM,UMM,Verstärkungsobjekt in Form von Kabeln,Stabilisierungskabel,,Verstärkungsobjekt in Form von Kabeln
U,UM,UMM,UMM,Verstärkungsobjekt in Form von Kabeln,Stabilisierungskabel,,Stabilisierungskabel
U,UM,UMN,UMN,Verstärkungsobjekt in Form einer horizontalen Schiene,Horizontalschiene,,Horizontalschiene
U,UM,UMN,UMN,Verstärkungsobjekt in Form einer horizontalen Schiene,Horizontalschiene,,Verstärkungsobjekt in Form einer horizontalen Schiene
U,UM,UMP,UMP,"Verstärkungsobjekt, mit dem aufgrund seines Gegengewichts Boden stabilisiert wird",Erddruckwall,,"Verstärkungsobjekt, mit dem aufgrund seines Gegengewichts Boden stabilisiert wird"
U,UM,UMP,UMP,"Verstärkungsobjekt, mit dem aufgrund seines Gegengewichts Boden stabilisiert wird",Erddruckwall,,Erddruckwall
U,UN,,UN,Halteobjekt zur Umrahmung anderer Objekte,Umrahmungsobjekt,,Halteobjekt zur Umrahmung anderer Objekte
U,UN,,UN,Halteobjekt zur Umrahmung anderer Objekte,Umrahmungsobjekt,,Umrahmungsobjekt
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Fensterrahmen,Fensterrahmen
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Türrahmen,Umrahmungsobjekt mit festem Rahmen
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Türrahmen,Fester Rahmen
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Türrahmen,Türrahmen
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Fensterrahmen,Umrahmungsobjekt mit festem Rahmen
U,UN,UNA,UNA,Umrahmungsobjekt mit festem Rahmen,Fester Rahmen,Fensterrahmen,Fester Rahmen
U,UN,UNB,UNB,Umrahmungsobjekt mit unterstem Teil der Türfläche,Türschwelle,,Türschwelle
U,UN,UNB,UNB,Umrahmungsobjekt mit unterstem Teil der Türfläche,Türschwelle,,Umrahmungsobjekt mit unterstem Teil der Türfläche
U,UN,UNC,UNC,Umrahmungsobjekt mit beweglichem Rahmen,Beweglicher Rahmen,Fensterscheibenrahmen,Umrahmungsobjekt mit beweglichem Rahmen
U,UN,UNC,UNC,Umrahmungsobjekt mit beweglichem Rahmen,Beweglicher Rahmen,Fensterscheibenrahmen,Beweglicher Rahmen
U,UN,UNC,UNC,Umrahmungsobjekt mit beweglichem Rahmen,Beweglicher Rahmen,Fensterscheibenrahmen,Fensterscheibenrahmen
U,UN,UND,UND,Umrahmungsobjekt zum Separieren eines Rahmens oder einer Tür,Fenstersprossenrahmen,Fenstersprosse,Umrahmungsobjekt zum Separieren eines Rahmens oder einer Tür
U,UN,UND,UND,Umrahmungsobjekt zum Separieren eines Rahmens oder einer Tür,Fenstersprossenrahmen,Fenstersprosse,Fenstersprossenrahmen
U,UN,UND,UND,Umrahmungsobjekt zum Separieren eines Rahmens oder einer Tür,Fenstersprossenrahmen,Fenstersprosse,Fenstersprosse
U,UP,,UP,Halteobjekt mit nicht statischer Montage,Fugenobjekt,,Halteobjekt mit nicht statischer Montage
U,UP,,UP,Halteobjekt mit nicht statischer Montage,Fugenobjekt,,Fugenobjekt
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Kugellager,Kugellager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Kugellager,Lager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Kugellager,Fugenobjekt mit Lager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Rollenlager,Rollenlager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Gleitlager,Gleitlager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Rollenlager,Fugenobjekt mit Lager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Gleitlager,Lager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Gleitlager,Fugenobjekt mit Lager
U,UP,UPA,UPA,Fugenobjekt mit Lager,Lager,Rollenlager,Lager
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Bewegungsfuge,Fugenobjekt mit mechanischem Gelenk
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Bewegungsfuge,Bewegungsfuge
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Bewegungsfuge,Scharnier
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Dehnungsfuge,Scharnier
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Dehnungsfuge,Dehnungsfuge
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,elastische Lagerung,elastische Lagerung
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,elastische Lagerung,Scharnier
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,elastische Lagerung,Fugenobjekt mit mechanischem Gelenk
U,UP,UPB,UPB,Fugenobjekt mit mechanischem Gelenk,Scharnier,Dehnungsfuge,Fugenobjekt mit mechanischem Gelenk
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Zement,Fugenobjekt mit chemischer Verbindung
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Zement,Chemische Verbindung
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Zement,Zement
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Strukturverbindung,Fugenobjekt mit chemischer Verbindung
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Strukturverbindung,Chemische Verbindung
U,UP,UPC,UPC,Fugenobjekt mit chemischer Verbindung,Chemische Verbindung,Strukturverbindung,Strukturverbindung
U,UQ,,UQ,Halteobjekt mit statischer Montage,Befestigungsobjekt,,Befestigungsobjekt
U,UQ,,UQ,Halteobjekt mit statischer Montage,Befestigungsobjekt,,Halteobjekt mit statischer Montage
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Befestigungsschelle,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Befestigungsschelle,Ankerplatte
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Befestigungsschelle,Befestigungsschelle
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Nagel,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Nagel,Ankerplatte
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Nagel,Nagel
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Niete,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Niete,Ankerplatte
U,UQ,UQA,UQA,Befestigungsobjekt mit steifen und permanenten mechanischen Mitteln,Ankerplatte,Niete,Niete
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Mutter,Mutter
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Befestigungsschelle,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Mutter,Bolzen
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Befestigungsschelle,Befestigungsschelle
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Befestigungsschelle,Bolzen
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Mutter,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schraube,Schraube
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schraube,Bolzen
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schraube,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schienenbefestigung,Schienenbefestigung
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schienenbefestigung,Bolzen
U,UQ,UQB,UQB,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln,Bolzen,Schienenbefestigung,Befestigungsobjekt mit steifen und reversiblen mechanischen Mitteln
U,UQ,UQC,UQC,Befestigungsobjekt mit chemischer Verbindung,Chemische Verbindung,Schweißnaht,Befestigungsobjekt mit chemischer Verbindung
U,UQ,UQC,UQC,Befestigungsobjekt mit chemischer Verbindung,Chemische Verbindung,Schweißnaht,Chemische Verbindung
U,UQ,UQC,UQC,Befestigungsobjekt mit chemischer Verbindung,Chemische Verbindung,Schweißnaht,Schweißnaht
U,UT,,UT,Halteobjekt zum Ausgleichen,Ausgleichungsobjekt,,Halteobjekt zum Ausgleichen
U,UT,,UT,Halteobjekt zum Ausgleichen,Ausgleichungsobjekt,,Ausgleichungsobjekt
U,UT,UTA,UTA,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Hinzufügen von Material,Füllung,,Füllung
U,UT,UTA,UTA,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Hinzufügen von Material,Füllung,,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Hinzufügen von Material
U,UT,UTB,UTB,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Entfernen von Material,Ausgrabung,Unterbau,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Entfernen von Material
U,UT,UTB,UTB,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Entfernen von Material,Ausgrabung,Unterbau,Ausgrabung
U,UT,UTB,UTB,Ausgleichungsobjekt zum Erzeugen einer profilierten Oberfläche durch Entfernen von Material,Ausgrabung,Unterbau,Unterbau
U,UU,,UU,Halteobjekt mit vorhandenem Boden,Vorhandener Boden,,Halteobjekt mit vorhandenem Boden
U,UU,,UU,Halteobjekt mit vorhandenem Boden,Vorhandener Boden,,Vorhandener Boden
U,UU,UUA,UUA,Bestehender Boden aus Fels,Fels,,Bestehender Boden aus Fels
U,UU,UUA,UUA,Bestehender Boden aus Fels,Fels,,Fels
U,UU,UUB,UUB,Bestehender Boden aus Reiberde,Reiberde,,Bestehender Boden aus Reiberde
U,UU,UUB,UUB,Bestehender Boden aus Reiberde,Reiberde,,Reiberde
U,UU,UUC,UUC,Bestehender Boden aus bindiger Erde,Bindige Erde,,Bestehender Boden aus bindiger Erde
U,UU,UUC,UUC,Bestehender Boden aus bindiger Erde,Bindige Erde,,Bindige Erde
U,UU,UUD,UUD,Bestehender Boden aus organischer Erde,Organische Erde,,Organische Erde
U,UU,UUD,UUD,Bestehender Boden aus organischer Erde,Organische Erde,,Bestehender Boden aus organischer Erde
U,UU,UUE,UUE,Bestehender Boden aus eingefülltem Material,Eingefülltes Material,,Bestehender Boden aus eingefülltem Material
U,UU,UUE,UUE,Bestehender Boden aus eingefülltem Material,Eingefülltes Material,,Eingefülltes Material
W,,,W,Objekt zum Leiten von einem Ort zu einem anderen,Leitobjekt,,Objekt zum Leiten von einem Ort zu einem anderen
W,,,W,Objekt zum Leiten von einem Ort zu einem anderen,Leitobjekt,,Leitobjekt
W,WB,,WB,Leitobjekt für elektrische Hochspannungsenergie,Hochspannungsenergie-Leitobjekt,,Leitobjekt für elektrische Hochspannungsenergie
W,WB,,WB,Leitobjekt für elektrische Hochspannungsenergie,Hochspannungsenergie-Leitobjekt,,Hochspannungsenergie-Leitobjekt
W,WB,WBA,WBA,Hochspannungsenergieleitobjekt mit Sammelschiene,Hochspannungssammelschiene,,Hochspannungsenergieleitobjekt mit Sammelschiene
W,WB,WBA,WBA,Hochspannungsenergieleitobjekt mit Sammelschiene,Hochspannungssammelschiene,,Hochspannungssammelschiene
W,WB,WBB,WBB,Hochspannungsenergieleitobjekt mit Kabel,Hochspannungskabel,,Hochspannungsenergieleitobjekt mit Kabel
W,WB,WBB,WBB,Hochspannungsenergieleitobjekt mit Kabel,Hochspannungskabel,,Hochspannungskabel
W,WB,WBC,WBC,Hochspannungsenergieleitobjekt mit Draht,Hochspannungsdraht,,Hochspannungsdraht
W,WB,WBC,WBC,Hochspannungsenergieleitobjekt mit Draht,Hochspannungsdraht,,Hochspannungsenergieleitobjekt mit Draht
W,WB,WBD,WBD,"Hochspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere",Hochspannungsbuchse,,"Hochspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere"
W,WB,WBD,WBD,"Hochspannungsenergieleitobjekt durch ein Gehäuse, eine Wand oder eine Barriere",Hochspannungsbuchse,,Hochspannungsbuchse
W,WD,,WD,Leitobjekt für elektrische Niederspannungsenergie,Niederspannungsenergie-Leitobjekt,,Leitobjekt für elektrische Niederspannungsenergie
W,WD,,WD,Leitobjekt für elektrische Niederspannungsenergie,Niederspannungsenergie-Leitobjekt,,Niederspannungsenergie-Leitobjekt
W,WD,WDA,WDA,Niederspannungsenergieleitobjekt mit Sammelschiene,Niederspannungssammelschiene,,Niederspannungsenergieleitobjekt mit Sammelschiene
W,WD,WDA,WDA,Niederspannungsenergieleitobjekt mit Sammelschiene,Niederspannungssammelschiene,,Niederspannungssammelschiene
W,WD,WDB,WDB,Niederspannungsenergieleitobjekt mit Kabel,Niederspannungskabel,,Niederspannungsenergieleitobjekt mit Kabel
W,WD,WDB,WDB,Niederspannungsenergieleitobjekt mit Kabel,Niederspannungskabel,,Niederspannungskabel
W,WD,WDC,WDC,Niederspannungsenergieleitobjekt mit Draht,Niederspannungsdraht,,Niederspannungsenergieleitobjekt mit Draht
W,WD,WDC,WDC,Niederspannungsenergieleitobjekt mit Draht,Niederspannungsdraht,,Niederspannungsdraht
