Kennzeichen,Beispiele
WM,Tropfrinne
WM,Versickerungs-kammer
WM,Versickerungsebene
WM,Dachrinne
WM,Versickerungsrohr
WM,Wassernase
WM,Ablass-schicht
WM,Ablassrohr
WM,Regentraufe
WM,Flüssigkeitsablassblech
WM,Belüftungsschicht
WM,Belüftungsrohr
WM,Rinne
WM,Belüftungsschacht
WMA,Versickerungsschicht
WMA,Belüftungsschicht
WMB,Dachrinne
WMB,Regenrinne
WMB,Regentraufe
WMC,Flüssigkeitsablassblech
WMC,Leitobjekt in offener Umschließung für Flüssigkeiten und mit offener Oberfläche
WMD,Wassernase
WMD,Leitobjekt in offener Umschließung für Flüssigkeiten zum Schutz
WME,Tropfrinne
WME,Leitobjekt in offener Umschließung für Flüssigkeiten und mit Flüssigkeitsablassprofil
WMF,Versickerungsrohr
WMF,Belüftungsrohr
WMG,Belüftungsschacht
WMG,Radonschacht
WP,Rohr
WP,Kanal
WP,Schlot
WP,Schlauch
WPA,Rohr
WPA,"Leitobjekt in geschlossener Umschließung in runder, starrer Form"
WPB,Schlot
WPC,Leitobjekt in geschlossener Umschließung in flexibler Form
WPC,Schlauch
WQ,bewegliche Leitung
WQ,Antriebs-kette
WQ,Antriebsachse
WQ,Kette
WQ,Zahnrad
WQ,Antriebsverbindung
WQ,Antriebsriemen
WQ,Hydraulikrohr
WQ,Pneumatikrohr
WQ,Hydraulikschlauch
WQ,Getrieberad
WQ,Rad
WQ,V-Riemen
WQ,Zahnstange
WQ,Achse
WQ,Pneumatikschlauch
WQA,Achse
WQB,V-Riemen
WQB,bewegliche Leitung
WQC,Kette
WQD,Antriebsgestänge
WQD,Objekt zum Leiten von mechanischer Energie mit Gestänge
WQE,Zahnrad
WQE,Getrieberad
WQF,Zahnstange
WQF,Objekt zum Leiten von mechanischer Energie mit Zahnstange
WQG,Hydraulikrohr
WQG,Pneumatikschlauch
WQG,Pneumatikrohr
WR,Gleisbahn
WR,Schiene
WR,Gleisübergang
WRA,Gleisbahn
WRB,Gleisobjekt zur Erzeugung einer Kreuzung
WRB,Gleisübergang
WV,Wärmeleiter
WV,Wärmepaste
WV,Wärmesenke
WVA,Wärmesenke
WVB,Objekt zum Leiten von Wärmeenergie mit statischer flüssiger Masse
WVB,Wärmepaste
WZ,Versorgungsleitung
WZ,Versorgungsleitungskabel
WZA,Versorgungsleitungskabel
WZA,"Mehrfachfluss-Leitobjekt für elektrische Energie, mechanische Energie, elektrische Signale, optische Signale und/oder Flüssigkeiten"
X,Schnittstellenobjekt
X,Objekt zur Bereitstellung einer Schnittstelle zu einem anderen Objekt
XB,Anschlussverteiler
XB,Hochspannungsanschlusskasten
XB,Hochspannungs-klemme
XB,Hoch-spannungsstecker
XB,Hochspannungskabelverbindung
XB,Kabelkopf
XB,Hochspannungssteckdose
XB,Klemme
XBA,Anschlussverteiler
XBA,Klemme
XBA,Kabelkopf
XBA,Hochspannungskabelverbindung
XBB,Hochspannungsstecker
XBC,Hochspannungsklemmkasten
XBC,Hochspannungs-Verbindungsobjekt für mehrere feste Verbindungen
XD,Elektrischer Anschlusskasten
XD,Niederspannungskabelverbindung
XD,Niederspannungsstecker
XD,Niederspannungsklemme
XD,Stecker
XD,Stromverteiler
XD,Netzsteckdose
XD,Anschlussklemme
XD,Anschlusskasten
XD,Niederspannungssteckdose
XDA,Niederspannungsanschlusspunkt
XDA,Niederspannungskabelverbindung
XDB,Niederspannungsstecker
XDB,Dose
XDB,Stecker
XDC,Anschlusskasten
XDC,Niederspannungs-Verbindungsobjekt für mehrere feste Verbindungen
XDD,Anschlussklemme
XDD,Niederspannungs-Verbindungsobjekt zur festen Verbindung eines flexiblen Kabels für elektrische Geräte
XDE,Niederspannungs-Verbindungsobjekt für mehrere steckbare elektrische Geräte
XDE,Stromverteiler
XE,PE-Anschlusspunkt
XE,Schutzverbindungsanschlusspunkt
XE,Schutzleiteranschlusspunkt
XE,Schutzerdungsleiteranschlusspunkt
XE,FB-Anschlusspunkt
XE,Funktions-erdungsanschlusspunkt
XE,PB-Anschlusspunkt
XE,Funktionsverbindungsanschlusspunkt
XE,FE-An-schlusspunkt
XE,Erdungselektrode
XE,Stromabnehmer
XEA,Schutzleiteranschluss
XEA,Schutzerdungsleiteranschluss
XEB,Schutzverbindungsklemme
XEC,Funktionserdungsklemme
XED,Funktionspotentialklemme
XEE,Potentialverbindungsobjekt zur Erzeugung einer elektrischen Masseverbindung
XEE,Masseelektrode
XEF,Kollektor
XEF,Potentialverbindungsobjekt zum Verbinden von Blitzschlag mit einen elektrischen Stromkreis
XG,Anschlussverteiler
XG,Rangierfeld
XG,Klemme
XG,Signalsteckdose
XG,Signalverteiler
XGA,Elektrisches Signalverbindungsobjekt für einzelne Steckverbindungen
XGA,Signaldose
XGB,Klemme
XGB,Elektrisches Signalverbindungsobjekt für eine einzelne Verbindung
XGC,Verbindungstafel
XGC,Elektrisches Signalverbindungsobjekt innerhalb von mehreren Leitungen
XH,optische Steckdose
XH,optischer Stecker
XH,Feste Lichtfasersteckdose
XHA,optischer Stecker
XHA,optische Steckdose
XK,Bodenablauf
XK,Waschbecken
XK,Toilette
XK,Urinal
XK,WC
XK,Tropfbecher
XK,Bidet
XKA,Bidet
XKB,WC
XKC,Sammelschnittstellenobjekt für ausschließlich Urin
XKC,Urinal
XKD,Sammelschnittstellenobjekt für überschüssige Flüssigkeit aus technischen Systemen
XKD,Tropfbecher
XKE,Sammelschnittstellenobjekt für überschüssiges Wasser
XKE,Bodenablauf
XM,Lötanschlussstück
XM,Hülse
XM,Druckverbindung
XM,Rohrflansch
XM,Rohrkupp-lung
XM,Schlauchflansch
XM,Schlauchanschlussstück
XM,Rohranschlussstück
XM,Kammer
XM,Löschschlauchkupplung
XM,Klebverbindung
XM,Schlauch-kupplung
XMA,Löschschlauchkupplung
XMA,Rohrflansch
XMA,Schlauchanschlussstück
XMA,Schlauchflansch
XMA,Schlauchkupplung
XMA,Kammer
XMB,Klebeverbindung
XMB,Lötanschlussstück
XMB,Druckverbindung
XMB,Schlauchanschlussstück
XN,Linien-und-Bolzenkupplung
XN,Kardangelenk
XN,Puffer-und-Ketten-Kupplung
XN,Schalenkupplung
XN,Hardy-Spicer-Gelenk
XN,Hirth-Koppler
XN,Hirth-Kupplung
XN,Hirth-Gelenk
XN,Hooke-Gelenk
XN,Hülsenkupplung
XN,geteilte Muffenkupplung
XN,U-Gelenk
XN,Universalkupplung
XN,Flanschkoppler
XN,flexible Kupplung
XNA,Fest angeschlossener Koppler von Schäften mit zwei Flanschen
XNA,Flanschverbindung
XNB,Schalenkupplung
XNB,Hülsenkupplung
XNC,Hirth-Kupplung
XNC,Hirth-Gelenk
XND,flexible Kupplung
XND,Hardy-Spicer-Gelenk
XND,Hooke-Gelenk
XND,U-Gelenk
XND,Universalkupplung
XNE,Puffer-und-Ketten-Kupplung
XNE,Fest angeschlossener Koppler zum Befestigen und Verbinden von zwei beweglichen Objekten
XNF,Linien-und-Bolzenkupplung
XNF,Fest angeschlossener Koppler zum Fixieren von zwei beweglichen Objekten
XP,Freilaufschaltung
XP,Magnethub
XP,Magnetkopf-Hubvorrichtung
XP,Hydraulikkupplung
XP,Fliehkraftkupplung
XP,Reibkupplung
XP,Freilaufkupplung
XP,Flüssigkeitskupplung
XPA,hydraulische Kupplung
XPA,Fliehkraftkupplung
XPB,Flüssigkeitskupplung
XPB,Nicht fest angeschlossener Koppler zur Leistungsübertragung durch Hydrodynamikeffekt
XPC,Freilaufschaltung
XPD,Magnetkopf-Hubvorrichtung
XS,Treppen-absatz
XS,Laufsteg
XS,Treppenlauf
XS,Feuerwehr-Rutschstange
XS,Leiter
XS,Rampe
XSA,Laufsteg
XSB,Ebenenverbindungsobjekt in Form von aufeinanderfolgenden Stufen
XSB,Treppenlauf
XSC,Ebenenverbindungsobjekt in Form von aufeinanderfolgenden Sprossen oder Balken
XSC,Leiter
XSD,Ebenenverbindungsobjekt in Form einer geneigten Ebene
XSD,Rampe
XSE,Ebenenverbindungsobjekt in Form einer vertikalen Stange
XSE,Feuerwehr-Rutschstange
XT,Schalung
XT,Hohlraum
XT,Loch
XT,Öffnung
XTA,Öffnung
XTB,Hohlraum
XZ,Mehrfachverbinder
XZA,"Mehrfachfluss-Verbindungsobjekt für elektrische Energie, elektrische Signale, optische Signale und/oder Flüssigkeiten"
XZA,Mehrfachverbinder
